title,address,tell,date,type
"<em id=""comment_writer"">미바드래프트</em>","<p class=""adress"">서울특별시 동대문구 천장산로7길 8</p>","<p class=""tell""><a class=""blocked"" href=""tel:029592717"">029592717<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-07-07 16:31:55"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-07-07</em>",수거공간
"<em id=""comment_writer"">지구랑 가게</em>","<p class=""adress"">서울특별시 노원구 광운로 53 니아미트어린이집</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-7585-7991"">070-7585-7991<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-30 14:54:50"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-30</em>",수거공간
"<em id=""comment_writer"">김상원</em>","<p class=""adress"">부산광역시 수영구 남천동로16번길 5</p>","<p class=""tell""><a class=""blocked"" href=""tel:051-628-0622"">051-628-0622<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-29 15:19:00"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-29</em>",수거공간
"<em id=""comment_writer"">슈가</em>","<p class=""adress"">경상남도 진주시 초전남로 35</p>","<p class=""tell""><a class=""blocked"" href=""tel:055-761-2585"">055-761-2585<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-29 14:40:25"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-29</em>",수거공간
"<em id=""comment_writer"">초록숲상점</em>","<p class=""adress"">경기도 평택시 용죽6길 22</p>","<p class=""tell""><a class=""blocked"" href=""tel:01065590032"">01065590032<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-21 19:19:14"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-21</em>",수거공간
"<em id=""comment_writer"">최정은</em>","<p class=""adress"">전라북도 군산시 구영5길 21-4</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-4240-8508"">010-4240-8508<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-10 18:00:17"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-10</em>",수거공간
"<em id=""comment_writer"">냉이</em>","<p class=""adress"">충청남도 논산시 계백로1062번길 7-2</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-2724-1409"">010-2724-1409<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-01 17:39:23"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-01</em>",수거공간
"<em id=""comment_writer"">비그린(B:green)</em>","<p class=""adress"">서울특별시 동작구 노량진로 10 여성가족복합시설 스페이스살림</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-5029-2019"">070-5029-2019<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-01 16:06:51"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-01</em>",수거공간
"<em id=""comment_writer"">위치타</em>","<p class=""adress"">경기도 안양시 만안구 냉천로203번길 6</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-8484-8734"">010-8484-8734<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-06-01 12:51:22"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-06-01</em>",수거공간
"<em id=""comment_writer"">네모상점</em>","<p class=""adress"">부산광역시 연제구 신금로 25</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-3931-9640"">010-3931-9640<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-05-28 20:29:30"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-05-28</em>",수거공간
"<em id=""comment_writer"">류은정</em>","<p class=""adress"">경상북도 김천시 남산공원길 35</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-05-12 03:08:24"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-05-12</em>",수거공간
"<em id=""comment_writer"">도돌이</em>","<p class=""adress"">서울특별시 서대문구 가좌로 77 마을언덕 홍은둥지</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-303-0503"">02-303-0503<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-05-11 15:43:42"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-05-11</em>",수거공간
"<em id=""comment_writer"">비건바닐라</em>","<p class=""adress"">대전광역시 서구 한밭대로656번길 32</p>","<p class=""tell""><a class=""blocked"" href=""tel:0507-1361-9962"">0507-1361-9962<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-05-10 11:27:52"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-05-10</em>",수거공간
"<em id=""comment_writer"">대안생활공기</em>","<p class=""adress"">서울특별시 강동구 상암로3길 24 뱅크빌딩</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-9948-0716"">010-9948-0716<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-05-06 16:21:51"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-05-06</em>",수거공간
"<em id=""comment_writer"">김초혜</em>","<p class=""adress"">인천광역시 중구 하늘달빛로 78 영종 힐링프라자</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-8065-2776"">070-8065-2776<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-30 18:07:00"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-30</em>",수거공간
"<em id=""comment_writer"">방승연</em>","<p class=""adress"">서울특별시 광진구 아차산로65길 22</p>","<p class=""tell""><a class=""blocked"" href=""tel:0507-1337-5180"">0507-1337-5180<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-29 18:32:20"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-29</em>",수거공간
"<em id=""comment_writer"">낯설여관</em>","<p class=""adress"">경기도 수원시 장안구 영화로71번길 33 크리스챤어페럴</p>","<p class=""tell""><a class=""blocked"" href=""tel:0507-1392-0130"">0507-1392-0130<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-20 18:18:51"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-20</em>",수거공간
"<em id=""comment_writer"">순환지구</em>","<p class=""adress"">서울특별시 성북구 동소문로25길 8</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-921-3888"">02-921-3888<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-18 13:52:24"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-18</em>",수거공간
"<em id=""comment_writer"">허그어웨일</em>","<p class=""adress"">서울특별시 강서구 화곡로55길 23</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-2038-7209"">02-2038-7209<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-16 18:05:26"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-16</em>",수거공간
"<em id=""comment_writer"">소중한모든것</em>","<p class=""adress"">인천광역시 남동구 인하로 617 플러스타워</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-4266-0247"">070-4266-0247<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-14 17:10:14"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-14</em>",수거공간
"<em id=""comment_writer"">플라스틱 베이커리</em>","<p class=""adress"">서울시 중구 을지로 157</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-3494-1510"">010-3494-1510<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-14 15:21:51"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-14</em>",수거공간
"<em id=""comment_writer"">에르마나스_이너피스</em>","<p class=""adress"">강원도 원주시 남원로469번길 14-2</p>","<p class=""tell""><a class=""blocked"" href=""tel:01063582317"">01063582317<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-14 15:14:39"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-14</em>",수거공간
"<em id=""comment_writer"">천연제작소</em>","<p class=""adress"">부산광역시 북구 덕천1길 93</p>","<p class=""tell""><a class=""blocked"" href=""tel:051-338-9619"">051-338-9619<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-13 20:07:13"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-13</em>",수거공간
"<em id=""comment_writer"">늘미곡</em>","<p class=""adress"">전라북도 전주시 완산구 선너머로 16 중화산동 광진아파트</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-4240-0225"">070-4240-0225<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-13 18:30:56"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-13</em>",수거공간
"<em id=""comment_writer"">페이퍼넛츠</em>","<p class=""adress"">서울특별시 서대문구 거북골로24길 37-8 영재하이빌</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-6408-7799"">02-6408-7799<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-13 15:53:15"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-13</em>",수거공간
"<em id=""comment_writer"">덕분愛</em>","<p class=""adress"">서울특별시 서초구 서초대로 389 진흥상가</p>","<p class=""tell""><a class=""blocked"" href=""tel:02-6959-4479"">02-6959-4479<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-13 15:45:46"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-13</em>",수거공간
"<em id=""comment_writer"">지구에티켓</em>","<p class=""adress"">경기도 오산시 세마역로19번길 52</p>","<p class=""tell""><a class=""blocked"" href=""tel:01037799470"">01037799470<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-13 14:57:48"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-13</em>",수거공간
"<em id=""comment_writer"">이로운공간 이공</em>","<p class=""adress"">광주광역시 광산구 송도로 257-1</p>","<p class=""tell""><a class=""blocked"" href=""tel:062-941-7978"">062-941-7978<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-12 14:59:48"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-12</em>",수거공간
"<em id=""comment_writer"">1.5도씨</em>","<p class=""adress"">서울특별시 관악구 조원로18길 15</p>","<p class=""tell""><a class=""blocked"" href=""tel:01092019173"">01092019173<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-12 14:31:00"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-12</em>",수거공간
"<em id=""comment_writer"">솝리필스테이션</em>","<p class=""adress"">경기도 성남시 수정구 위례광장로 21 가하빌딩</p>","<p class=""tell""><a class=""blocked"" href=""tel:01049365049"">01049365049<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-12 14:10:31"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-12</em>",수거공간
"<em id=""comment_writer"">포항나눔지역자활센터(지구공방)</em>","<p class=""adress"">경상북도 포항시 남구 정몽주로861번길 9-5</p>","<p class=""tell""><a class=""blocked"" href=""tel:054)252-4471 / 054)252-5445"">054)252-4471 / 054)252-5445<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-04-08 09:38:56"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-04-08</em>",수거공간
"<em id=""comment_writer"">전주시자원봉사센터</em>","<p class=""adress"">전라북도 전주시 덕진구 전주천동로 455 전주시자원봉사센터</p>","<p class=""tell""><a class=""blocked"" href=""tel:063-273-1365"">063-273-1365<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-30 13:14:21"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-30</em>",수거공간
"<em id=""comment_writer"">Project Modulab</em>","<p class=""adress"">서울특별시 은평구 통일로 684 서울혁신파크</p>","<p class=""tell""><a class=""blocked"" href=""tel:ysh.jay@funcompany.org"">ysh.jay@funcompany.org<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-19 15:45:16"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-19</em>",수거공간
"<em id=""comment_writer"">재작소</em>","<p class=""adress"">대전광역시 대덕구 오정동 133-16</p>","<p class=""tell""><a class=""blocked"" href=""tel:jaejagso@gmail.com"">jaejagso@gmail.com<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-18 13:20:59"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-18</em>",수거공간
"<em id=""comment_writer"">지구맑음</em>","<p class=""adress"">울산광역시 남구 삼산중로74번길 30 </p>","<p class=""tell""><a class=""blocked"" href=""tel:01025071421"">01025071421<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-11 16:12:09"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-11</em>",수거공간
"<em id=""comment_writer"">제4의공간</em>","<p class=""adress"">서울특별시 영등포구 도림로143길 11-19</p>","<p class=""tell""><a class=""blocked"" href=""tel:contact@4thplace.io"">contact@4thplace.io<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-03 12:18:35"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-03</em>",수거공간
"<em id=""comment_writer"">알맹상점</em>","<p class=""adress"">서울특별시 마포구 월드컵로25길 47 한흥빌딩</p>","<p class=""tell""><a class=""blocked"" href=""tel:010 2229 1027"">010 2229 1027<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-03-01 21:57:48"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-03-01</em>",수거공간
"<em id=""comment_writer"">아이디어창작소도깨비</em>","<p class=""adress"">경기도 화성시</p>","<p class=""tell""><a class=""blocked"" href=""tel:01045911521"">01045911521<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-28 13:25:56"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-28</em>",수거공간
"<em id=""comment_writer"">clubkeepus</em>","<p class=""adress"">충청남도 보령시 신평중앙길 37</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-7547-0933"">010-7547-0933<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-25 17:24:34"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-25</em>",수거공간
"<em id=""comment_writer"">더쓸모협동조합</em>","<p class=""adress"">대구광역시 북구 경대로5길 16</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-9988-5535"">010-9988-5535<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-25 11:50:28"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-25</em>",수거공간
"<em id=""comment_writer"">서울환경연합</em>","<p class=""adress"">서울특별시 성동구 성수이로26길 47</p>","<p class=""tell""><a class=""blocked"" href=""tel:010-2133-7088"">010-2133-7088<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2021-02-24 13:15:38"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2021-02-24</em>",수거공간
"<em id=""comment_writer"">플라스틱정류장</em>","<p class=""adress"">광주광역시 서구 천변좌로 120</p>","<p class=""tell""><a class=""blocked"" href=""tel:070-7608-1216"">070-7608-1216<span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-04-26 16:43:36"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-04-26</em>",작업공간
"<em id=""comment_writer"">생태전환마을내일</em>","<p class=""adress"">강원도 강릉시 죽헌길 140-12</p>","<p class=""tell""><a class=""blocked"" href=""tel:""><span class=""sr-only"">phone number</span></a></p>","<em class=""comment_wtime"" data-original-title=""2023-03-06 19:08:43"" data-placement=""auto"" data-toggle=""tooltip"" title="""">2023-03-06</em>",작업공간
